"year","log_SI","WSClag1","SSB"
1981,0.500932559698325,1.57803545638065e-06,2846036
1982,2.07377362535242,4.88127193124891e-06,2299742
1983,2.27720046346607,2.2722024787135e-06,1854216
1984,1.69346320454834,-6.45569725874237e-07,1756125
1985,1.23516970747651,7.66068250640517e-07,2095632
1986,1.38801174377178,3.28117884743998e-06,2274475
1987,1.19870479563784,2.53369054472843e-06,1933155
1988,1.64556910263339,-4.27005825582367e-06,1638205
1989,2.50009021324658,-1.36226169900056e-07,1546404
1990,1.89773471133402,-4.42347743881102e-06,1356528
1991,1.3265150319067,-5.28561700482063e-06,1777830
1992,0.697724304189325,-2.84718608576126e-06,2460102
1993,1.15990747003927,-2.0740541410744e-06,2543671
1994,1.30206804406351,-2.65717721524715e-06,2535468
1995,2.49894226389859,3.09401917987352e-06,2308211
1996,3.01651768667893,2.50862706114358e-06,2207682
1997,2.38137182975303,2.36815073230269e-06,2467358
1998,1.70643425872976,2.23759993990392e-07,3685247
1999,2.18212193839541,4.58342955688017e-06,4449851
2000,2.58149881067329,6.64912776294892e-06,4233012
2001,2.37323632305617,6.97425151013281e-06,4575712
2002,2.2826206895241,-2.13314402191461e-07,5401566
2003,1.42949474801021,4.80685853669153e-06,6875173
2004,1.18959897415437,3.44338638985025e-07,6778079
2005,0.4012266262052,-4.38378766699622e-06,6031586
2006,-0.181582720611708,-2.17289714813755e-06,5891687
2007,0.230243703363192,2.46642270459082e-07,4673775
2008,0.480962886224352,-6.20672683959711e-06,3593824
2009,1.72991773881558,1.65903459325989e-06,2754203
2010,1.99157841851098,3.87419257840015e-06,2690487
2011,1.97112399322586,-5.39460228389367e-07,2717639
2012,1.53878800089466,-8.97836680064441e-07,3476370
2013,2.29567746752992,3.88957840553101e-06,3803134
2014,2.77271258644883,1.05038908691944e-06,4045006
2015,2.13203233007162,4.52556889405129e-06,4218197
2016,0.894952955547582,-2.31039015257611e-06,4974200
2017,0.749614987136004,-1.22995406768054e-06,6199504
2018,0.918126453418535,-1.59567288478731e-06,6090429
2019,1.62261249619004,2.88894479992684e-07,5284355
2020,2.77082704102272,4.78305988435876e-06,4480563
2021,2.27557042030039,5.91663757592503e-07,4440379
